### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
tmDownloadProfile;download;Caracter 225 SI cDPVersioID1 Identificador de la versión de archivos asociada al perfil. BigInnt 8 NO 1 En deshuso a partir de la versión 2.1.0.0 de Hipercenter;;8;NO;
tmMerchant;cMrMerchantId;Código del Comercio. Caract er 15 SI Valor único para la red de POS;;;;
tmMerchant;cMrStatus;Estado en que se encuentra el Comercio Caracter 1 SI 0 - Habilitado (recibe las transacciones en forma normal) Fin de Contrato) Manual;Caracter;1;SI;1 - Histórico (Ejem., 2 - Deshabilitado
tmMerchant;dMrContactName;Nombre del co ntacto en el Comercio Caracter 32 NO;Caracter;32;NO;
tmMerchant;dMrMerchantName;Nombre o descripción del;;;;
tmMerchant;comercio;Caracter 64 NO;;;;
tmMerchant;dMrAddress;Dirección del Comercio Caracter 32 NO;;;;
tmMerchant;dMrPhone;Teléfono del Comercio Caracter 15 NO;;;;
tmMerchant;cMrDepartCode;Código de Identificación geográfica d el Departamento en el que se encuentra ubicado el;;;;
tmMerchant;Comercio;Caracter 8 NO Número que identifica al Departamento, según información del INEI Diccionario de Campos V3 .0 14;;0;;
tmMerchant;cMrProvinceCode;Código de Identificación geográfica de la Provincia en el que se encuentra ubicado el Comercio Carac ter 8 NO Número que identifica a la Provincia, según información del INEI;;8;NO;
tmMerchant;cMrDistrictCode;Código de Identificación geográfica del Distrito en el que se encuentra ubicado el Comercio Caracter 8 NO Número que identifica al Distrito, según información del IN EI;Caracter;8;NO;
tmMerchant;fMrContrSignDate;Fecha en que el comercio firmo el contrato con el Banco. Proporciona una idea del tiempo que el comercio ha estado;Caracter;8;NO;trabajando con el Banco. Caracter 8 NO AAAAMMDD
tmMerchant;cMrTransSale;Flag que indica si el comercio soporta compras. Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransCash;Flag que indica si el comercio soporta disposición de efectivo. Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransGas;Flag que indica si el comercio soporta venta de gasolina. Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransService;Flag que indica si el comercio soporta pago de servicios Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;nMrFreqSettle;Frecuencia (en días) con la que el comercio, debería realizar Cierres. Campo solo informativo, no tomado en cuenta Numeric 2 NO;Numeric;2;NO;
tmMerchant;cMrMCC;MCC Giro o Rubro Caracter 8 NO;;;;
tmMerchant;cMrReqCashBack;Flag que indica si el comercio soporta;;;;
tmMerchant;cashback;Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransPreAutoriza tion Flag que indica si el comercio soporta preautorización Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransConfirmacio n Flag que indica si el comercio soporta confirmación de preautorización Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransSalePoints;Flag que indica si el comercio soporta canje de puntos Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransPoints;Flag que indica si el comercio soporta consulta de puntos Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransPropina;Flag que indica si el comercio soporta ingreso de propina Caracter 1 NO 0: Sí soport a 1: No soporta Diccionario de Campos V3 .0 15 cMrTransPagoServic e Flag que indica si el comercio soporta pago de servicios Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrTransAnular;Flag que indica si el comercio soporta anulación Caracter 1 NO 0: Sí soporta 1: No soporta cMrTra nsAnularPS Flag que indica si el comercio soporta anulación de pago de;Caracter;1;NO;
tmMerchant;servicios;Caracter 1 NO 0: Sí soporta 1: No soporta;;1;NO;
tmMerchant;cMrTransAnularSP;Flag que indica si el comercio soporta anulación de puntos Caracter 1 NO 0: Sí soporta 1: No soporta cMrTransC ierre Flag que indica si el comercio soporta cierre Caracter 1 NO 0: Sí soporta 1: No soporta;Caracter;1;NO;
tmMerchant;cMrRucCode;RUC Caracter 13 NO;;;;
tmMerchant;cMrAdministratorKey;Clave o password del;;;;
tmMerchant;administrador;Caracter 64 NO;;;;
tmMerchant;cMrAccessType;Tipo de acceso Caracter 1 NO 0: Libre 1: Requiere Login;;1;;
tmMerchant;cMrCloseType;Tipo de cierre (No empleado) Caracter 1 NO 0: Automático 1: Manual 2: Ambos;Caracter;1;NO;
tmMerchant;cMrCloseTime;Hora de cierre automático (No empleado) Caracter 6 NO;Caracter;6;NO;
