### TABLAS ###
Nombre tabla;Descripción tabla;Cantidad de columnas
tmTerminal;cTrHopper4Statu;s Estado de hopper 4. Solo aplica para terminales autoservicio con dispensador de cTrForceUpdate Flag que indica si se requiere una actualización forzada de archivos. Caracter 1 NO cTrSaldoAmount No usado Decimal 12,2 NO;Caracter;1;NO;
tmTerminal;cTrSaldoAmount;cTrMode Modo del terminal, exclusivo o compartido Caracter 1 NO;Decimal;12,2;NO;
tmTerminal;cTrStatusChange;Reason Motivo de cambio de fTrCreationDate Fecha de creación del registro Caracter 8 NO hTrCreationTime Hora de creación del registro Caracter 6 NO cTrLogicalStatus Estado lógico (creado/eliminado) Caracter 1 NO;Caracter;2;NO;
tmTerminal;cTrMultMerchantI;d Indicador de cTrAmountPaid Indicador , para que se incluya en la facturación Caracter 1 NO 0 - Sin Facturar dTrMergesiCode Caracter 10 NO nTrChipNumber Caracter 19 NO cTrPi nPadSN Caracter 11 NO dTrPinPadModel Caracter 32 NO;Caracter;2;NO;1 - Facturar
tmTerminal;nTrInventoryNumbe;ctrPrinterSN Caracter 10 NO fTrInventoryDate Caracter 8 NO dTrPrinterModel Caracter 32 NO cTrInventoryStatus Caracter 1 NO;Caracter;10;NO;
tmTerminal;dTrTerminalComple;Diccionario de Campos V3 .0 24 dTrOSVersion Caracter 10 NO cTrRemovalDate Caracter 8 NO;Caracter;15;NO;
tmTerminal;cTrRemovalNumbe;;Caracter;10;NO;
tmTerminal;dTrModCommVersi;cTrInternetProtocol Caracter 15 NO nTrNroIniMoneda1 Caracter 5 NO nTrNroIniMoneda2 Caracter 5 NO nTrNroIniMoneda3 Caracter 5 NO nTrNroIniMoneda4 Caracter 5 NO nTrNroMinMoneda1 Caracter 5 NO nTrNroMinMoneda2 Caracter 5 NO nTrNroMinMoneda3 Caracter 5 NO nTrNroMinMoneda4 Caracter 5 NO nTrNroIniAcep1 Caracter 5 NO nTrNroIniAcep2 Caract er 5 NO nTrNroIniAcep3 Caracter 5 NO nTrNroIniAcep4 Caracter 5 NO nTrNroIniBillete1 Caracter 5 NO nTrNroIniBillete2 Caracter 5 NO nTrNroIniBillete3 Caracter 5 NO nTrNroIniBillete4 Caracter 5 NO cTrCodAcep1 Caracter 3 NO nTrNroAcep1 Caracter 5 NO cTrCodAcep2 Caracter 3 NO nTrNroAcep2 Caracter 5 NO cTrCodAcep3 Caracter 3 NO nTrNroAcep3 Caracter 5 NO cTrCodAcep4 Caracter 3 NO nTrNroAcep4 Caracter 5 NO cTrCodBillete1 Caracter 5 NO nTrNroBillete1 Caracter 5 NO cTrCodBillete2 Caracter 5 NO nTrNroBillete2 Caracter 5 NO cTrCodBillete3 Caracter 5 NO nTrNroBillete3 Caracter 5 NO cTrCodBillete4 Caracter 5 NO nTrNroBillete4 Caracter 5 NO cTrMasterKey Caracter 16 NO nTrNroTicketsImpr Caracter 16 NO Diccionario de Campos V3 .0 25;Caracter;15;NO;
tpRequestInstall;nRqRequestNumberCR;M Códig o de fRqRegistryDateCRM Fecha de registro de solicitud de hRqRegistryTimeCRM Hora de registro de solicitud de fRqModifyDateCRM Fecha de última modificación del hRqModifyTimeCRM Hora de última modificación del cRqMerchantIdSOL Código de comercio soles Caracter 15 NO cRqMerchantIdUSS Código de comercio doláres Caracter 15 NO dRqMerch antName Nombre de comercio Caracter 64 SI dRqSocialReason Razón social del comercio Caracter 64 NO nRqRUC Número de RUC del comercio Caracter 15 NO nRqDNI Número de DNI Caracter 15 NO dRqViaType Tipo de vía Int 4 NO dRqAddress Dirección de comerc io Caracter 100 NO cRqDepartCode Código de departamento Caracter 8 NO cRqProvinceCode Código de Provincia Caracter 8 NO cRqDistrictCode Código de distrito Caracter 8 NO dRqContacName Nombre de contacto Caracter 64 NO drqContacLastName Apellido de contacto Caracter 64 NO Diccionario de Campos V3 .0 26 dRqcontacPhone Número de teléfono de contacto Caracter 64 NO dRqcontacPhoneMobile Número de celular de contacto Caracter 64 NO dRqContacName2 Nombre de contacto 2 Caracter 64 NO drqContacLastName2 Apellido de contacto 2 Caracter 64 NO dRqcontacPhone2 Número de teléfono de contacto 2 Caracter 64 NO;Caracter;50;NO;instalación CRM Caracter 8 NO AAAAMMDD, instalación CRM Caracter 6 NO HHMMSS, registro Caracter 8 NO AAAAMMDD, registro Caracter 6 NO HHMMSS
tpRequestInstall;dRqcontacPhoneMobile;2 Número de celular de dRqDIR Código interno que el cliente usa para la identificación del POS , generado y administrado por la entidad financiera Caracter 10 NO fRqRegistryDateRP Fecha recepcionada en hRqRegistryTimeRP Hora recepcionada en fRqLastMoveDate Fecha de último hRqLastMoveTi me Hora de último fRqGuideDate Fecha entregada hRqGuideTime Hora entregada fRqInstallDate Fecha de hRqInstallTim e Hora de cRqStatus Estado de la Instalación Caracter 2 SI fRqRegistryDate Fecha Solicitada hRqRegistryTime Hora Solicitada cRqModifyUser Usuario de última actualización Caracter 7 SI fRqModifyDate Fecha de última Diccionario de Campos V3 .0 27 hRqModifyTime Hora de última nRqPOSNumber Cantidad de POS Smallint 2 NO nRqPOSNumberIns Número de POS instalados Smallint 2 NO fRqTrainingDate Fecha de hRqTrainingtime Hora de cRqRequestValidation Indicador de observaciones Caracter 1 SI cReasonInstall Motivo de la instalación Caracter 1 SI dRqAddressReference Referencia de la dirección de la instalación Caracter 100 NO dRqRequestDescrip Observaciones de Instalación Caracter 1000 NO;Caracter;2;NO;RED POS Caracter 8 NO AAAAMMDD, RED POS Caracter 6 NO HHMMSS, movimiento Caracter 8 NO AAAAMMDD, movimiento Caracter 6 NO HHMMSS, al Instalador Caracter 8 NO AAAAMMDD, al Instalador Caracter 6 NO HHMMSS, Instalación Caracter 8 NO AAAAMMDD, Instalación Caracter 6 NO HHMMSS, por el Banco Caracter 8 SI AAAAMMDD, por el Banco Caracter 6 SI HHMMSS, modificación Caracter 8 SI AAAAMMDD, modificación Caracter 6 SI HHMMSS, Capacit ación Caracter 8 NO AAAAMMDD, Capacit ación Caracter 6 NO HHMMSS
