MCC,Descripcion
3663,Hoteles El Presidente
3664,Flag Inns
3665,Hampton Inn Hotels
3666,Stakis Hotels
3667,Luxor Hotel and Casino
3668,Maritim Hotels
3669,Eldorado Hotel and Casino
3670,Arcade Hotels
3671,Arctia Hotels
3672,Campanile Hotels
3673,IBUSZ Hotels
3674,Rantasipi Hotels
3675,Interhotel CEDOK
3676,Monte Carlo Hotel and Casino
3677,Climat de France Hotels
3678,Cumulus Hotels
3679,Silver Legacy Hotel and Casino
3680,Hoteis Othan
3681,Adams Mark Hotels
3682,Sahara Hotel and Casino
3683,Bradbury Suites
3684,Budget Hosts Inns
3685,Budgetel Inns
3686,Susse Chalet
3687,Clarion Hotels
3688,Compri Hotels
3689,Consort Hotels
3690,Courtyard by Marriott
3691,Dillon Inn
3692,Doubletree
3693,Drury Inn
3694,Economy Inns of America
3695,Embassy Suites
3696,Excel Inn
3697,Fairfield Hotels
3698,Harley Hotels
3699,Midway Motor Lodge
3700,Motel 6
3701,LaMansion Del Rio
3702,Registry Hotels
3703,Residence Inn
3704,Royce Hotels
3705,Sandman Inn
3706,Shilo Inn
3707,Shoneyâ€™s Inn
3708,Virgin River Hotel and Casino
3709,Super 8 Motels
3710,TheRitz-Carlton
3711,Flag Inns (Australia)
3712,Buffalo Billâ€™s Hotel and Casino
3713,Quality Pacific Hotel
3714,Four Seasons (Australia) Hotels
3715,Fairfield Inn
3716,Carlton Hotels
3717,City Lodge Hotels
3718,Karos Hotels
3719,Protea Hotels
3720,Southern Sun Hotels
3721,Conrad Hotels
3722,Wyndham
3723,Rica Hotels
3724,Inter Nor Hotels
3725,SeaPines Resort
3726,RioSuites
3727,Broadmoor Hotel
3728,Ballys Hotel and Casino
3729,John Ascuagas Nugget
3730,MGMGrand Hotel
3731,Harrahs Hotels and Casinos
3732,Opryland Hotel
3733,Boca Raton Resort
3734,Harvey Bristol Hotels
3735,Masters Economy Inns
3736,Colorado Belle Edgewater Resort
3737,Riviera Hotel and Casino
3738,Tropicana Resort and Casino
3739,Woodside Hotels and Resorts
3740,TownePlace Suites
3741,Millennium Hotels
3742,Club Med
3743,Biltmore Hotel and Suites
3744,Carefree Resorts
3745,St.Regis Hotel
3746,Eliot Hotels
3747,Club Corp/Club Resorts
3748,Wellesley Inns
3749,Beverly Hills Hotel
3750,Crowne Plaza Hotels
3751,Homewood Suites
3752,Peabody Hotels
3753,Greenbriar Resorts
3754,Amelia Island Plantation
3755,Homestead
3757,Canyon Ranch
3758,Kahala Mandarin Oriental Hotel
3759,Orchid at Mauna Lani
3760,Halekulani Hotel/Waikiki Parc
3761,Primadonna Hotel and Casino
3762,Whiskey Peteâ€™s Hotel and Casino
3763,Chateau Elan Winery and Resort
3764,Beau Rivage Hotel and Casino
3765,Bellagio Hotel and Casino
3766,Fremont Hotel and Casino
3767,Main Street Hotel and Casino
3768,Silver Star Hotel and Casino
3769,Stratosphere Hotel and Casino
3770,SpringHill Suites
3771,Caesars Hotel and Casino
3772,Nemacolin Woodlands
3773,Venetian Resort Hotel and Casino
3774,"NewYork, New York Hotel and Casino"
3775,Sands Resort
3776,Nevele Grande Resort and Country Club
3777,Mandalay Bay Resort
3778,Four Points Hotels
3779,W Hotels
3780,Disney Resorts
3781,Patricia Grand Resort Hotels
3782,Rosen Hotels and Resorts
3783,Town and Country Resort & Convention Center
3784,First Hospitality Hotels
3785,Outrigger Hotels & Resorts
3786,Ohana Hotels of Hawaii
3787,Caribe Royale Resort Suites & Villas
3788,AlaMoana Hotel
3789,Smugglersâ€™ Notch Resort
3790,Raffles Hotels
3791,Staybridge Suites
3792,Claridge Casino Hotel
3793,TheFlamingo Hotels
3794,Grand Casino Hotels
3795,Paris Las Vegas Hotel
3796,Peppermill Hotel Casino
3797,Atlantic City Hilton
3798,Embassy Vacation Resort
3799,Hale Koa Hotel
3800,Homestead Suites
3801,Wilderness Hotel and Golf Resort
3802,ThePalace Hotel
3803,TheWigwam Golf Resort and Spa
3804,TheDiplomat Country Club and Spa
3805,TheAtlantic
3806,Princeville Resort
3807,Elemento
3808,LXR(Luxury Resorts)
3809,Settle Inn
3810,LaCosta Resort
3811,Premier Inn
3812,Hyatt Place
3813,Hotel Indigo
3814,TheRoosevelt Hotel NY
3815,Holiday Inn Nickelodeon
3817,Affinia
3818,MainStay Suites
3819,Oxford Suites
3820,Jumeirah Essex House
3821,Caribe Royale
3822,Crossland
3823,Grand Sierra Resort
3824,Aria (Aria Resort and Casino)
3825,Vdara (Vdara Hotel and Spa)
3826,Autograph
3827,Galt House
3828,Cosmopolitan of Las Vegas
4011,Ferrocarriles-Flete
4112,Ferrocarril de Pasajeros
4119,Servicios de Ambulancia
4121,Limusinas
4131,Lineas de Autobuses
4214,"Transportistas Motorizados, Camiones-Local/Larga Distancia,"
4215,"Servicios de Mensajeria-Por Aire y Por Tierra, Agencias de"
4225,"Almacenes Publicos-Almacenamiento de Productos Agricolas,"
4411,Lineas de Cruceros
4457,Arrendamientos de Botes y Alquiler de Botes
4468,"Puertos Deportivos, Suministros/Servicios Nauticos"
4511,"Transportadores Aereos, Aerolineas-no clasificados en otro"
4582,Pistas para Aviones
4722,Agencias de Viaje y Operadores Turisticos
4784,"Cargos de Puentes y Carreteras, Peajes"
4789,Servicios de Transporte-no clasificados en otro lugar
4812,Ventas de Equipo de Telecomunicaciones incluyendo Ventas
4813,Comercio de Telecomunicaciones por Ingreso Mediante Teclado
4814,Llamadas Por Medio del Uso de Telefonos con Capacidad de
4816,Red de Computadoras/Servicios de Informacion
4821,Servicios Telegraficos
4829,Transferencia de Dinero
4899,"Cable, Satelite y Otros Servicios de Radio y Television de Pago"
4900,Electricidad-Servicios Publicos
5013,Suministros y Piezas Nuevas para Vehiculos a Motor2
5021,Mobiliario Comercial2
5039,Materiales de Construccion-no clasificados en otro lugar2
5044,Equipo de Oficina2
5045,"Computadoras, Equipos Perifericos para Computadoras2"
5046,"Equipo, Comercial-no clasificado en otro lugar2"
5047,Equipo y Materiales Oftalmicos2
5051,Centros y Oficinas de Servicios en Metal2
5065,Piezas y Equipos Electricos2
5072,Equipo y Materiales de Ferreteria2
5074,Equipo de Calefaccion2
5085,Materiales Industriales-no clasificados en otro lugar2
5094,Metales y Piedras Preciosas2
5099,Articulos No Perecederos-no clasificados en otro lugar2
5111,"Articulos para Oficina, Papel para Impresora y para Escribir,"
5122,"Medicamentos, Propietarios de Medicamentos Patentados,"
5131,"Articulos para Costura, Genero en Piezas y Otros Articulos"
5137,"Uniformes y Ropa Comercial para Hombres, Mujeres y NiÃ±os2"
5139,Calzado Comercial2
5169,Quimicos y Productos Relacionados-no clasificados en otro
5172,Petroleo y Productos de Petroleo2
5192,"Libros, Diarios y Periodicos"
5193,"Materiales para Floristerias, Plantas de Vivero y Flores2"
5198,Pinturas y Materiales2
5199,Articulos Perecederos-no clasificados en otro lugar2
5200,Tiendas de Almacen de Materiales para el Hogar
5211,Tiendas de Materiales para la Construccion
5231,Tiendas de Vidrios
5251,Ferreterias
5261,Tiendas de Materiales para Jardineria
5271,Vendedores de Casas Moviles
5300,Clubes de Mayoristas
5309,Tiendas Libres de Impuestos
5310,Tiendas de Descuentos
5311,Tiendas por Departamentos
5331,Tiendas de Variedades
5399,Tiendas de Mercancia General Miscelanea
5411,Supermercados
5422,"Proveedores de Carnes Congeladas, Refrigeradas"
5441,"Tiendas de Caramelos, Nueces, Dulces"
5451,Tiendas de Productos Lacteos
5462,Panaderias
5499,Tiendas de Conveniencia de Comida
5511,"Vendedores de Automoviles y Camiones-Ventas, Servicio,"
5521,Vendedores de Automoviles y Camiones-(Usados
5531,Tiendas de Articulos para Automoviles
5532,Tiendas de Neumaticos para Vehiculos
5533,Tiendas de Repuestos y Accesorios para Automoviles
5541,Estaciones de Servicio (con o sin Servicios Complementarios)
5542,"Dispensador de Combustible, Automatico"
5551,Vendedores de Botes
5561,Vendedores de Campers
5571,Talleres y Vendedores de Motocicletas
5592,Vendedores de Casas Moviles
5598,Vendedores de Motonieves
5599,"Vendedores Miscelaneos de Vehiculos Automotores, Aviones y"
5611,Tiendas de Ropa y Accesorios para Caballeros y NiÃ±os
5621,Tiendas de Ropa para Damas
5631,Tiendas de Accesorios y de Especialidades para Damas
5641,Tiendas de Ropa para NiÃ±os y para Bebes
5651,Tiendas de Ropa para la Familia
5655,Tiendas de Ropa Deportiva
5661,Zapaterias
5681,Peleteros y Tiendas de Pieles
5691,Tiendas de Ropa para Caballeros y para Damas
5697,Reparacion de Ropa
5698,Tiendas de Pelucas
5699,Tiendas de Accesorios-Miscelaneos
5712,Tiendas de Equipos (excepto Electrodomesticos)
5713,Tiendas de Recubrimientos para Pisos
5714,Tiendas de Tapiceria
5718,"Tiendas de Chimeneas, Pantallas y Accesorios para Chimeneas"
5719,Tiendas Especializadas en Mobiliario Miscelaneo para el Hogar
5722,Tiendas de Electrodomesticos
5732,Ventas de Electronicos
5733,"Tiendas de Musica-Instrumentos Musicales, Pianos, Partituras"
5734,Tiendas de Software para Computadoras
5735,Tiendas de Discos
5811,Proveedores de Comida por Encargo
5812,"Establecimientos de Comida, Restaurantes"
5813,Bares-Establecimientos de Bebidas
5814,Restaurantes de Comida Rapida
5912,Farmacias
5921,"Tiendas de Bebidas Alcoholicas, Cerveza, Vino y Licores"
5931,Tiendas de Mercancia de Segunda Mano
5932,"Tiendas de AntigÃ¼edades-Ventas, Reparaciones y Servicios de"
5933,Casas de EmpeÃ±o
5935,Lotes de Chatarra
5937,Tiendas de Reproduccion de AntigÃ¼edades
5940,Tiendas de Bicicletas-Ventas y Servicio
5941,Tiendas de Articulos Deportivos
5942,Librerias
5943,Tiendas de Materiales para Oficina
5944,Relojerias
5945,Tiendas de Juegos
5946,Tiendas de Camaras
5947,Tiendas de Regalos
5948,Tiendas de Articulos de Equipaje
5949,Tiendas de Materiales de Costura
5950,Tiendas de Cristaleria
5960,Mercadeo Directo-Servicios de Seguros
5962,Mercadeo Directo-Servicios de Organizacion de Viajes
5963,Ventas de Puerta en Puerta
5964,Mercadeo Directo-Comercios por Catalogo
5965,Mercadeo Directo-Comercios de Combinacion de Catalogos
5966,Mercadeo Directo-Comercios de Telemercadeo Saliente
5967,Mercadeo Directo-Comercios de Telemercadeo Entrante
5968,Mercadeo Directo-Comercios de Continuidad/Suscripcion
5969,Mercadeo Directo-Otros Mercadeos Directos-no clasificados
5970,Tiendas de Materiales de Arte
5971,Vendedores y Galerias de Arte
5972,Tiendas de Estampillas y Monedas-Materiales Filatelicos y
5973,Tiendas de Articulos Religiosos
