cod_giro_comercio;nom_giro_comercio
5045;COMPUTADORAS, PERIFÉRICOS Y SOFTWARE
5046;EQUIPOS COMERCIALES (NO CLASIFICADOS EN OTRAS CATEGORÍAS)
5047;EQUIPOS Y SUMINISTROS MÉDICOS, DENTALES, OFTALMOLÓGICOS Y HOSPITALARIOS
5051;CENTROS Y OFICINAS DE SERVICIOS DE METAL
5065;REPUESTOS Y EQUIPOS ELÉCTRICOS
5072;FERRETERÍA, EQUIPOS Y SUMINISTROS
5074;EQUIPOS Y SUMINISTROS DE FONTANERÍA Y CALEFACCIÓN
5085;SUMINISTROS INDUSTRIALES (NO CLASIFICADOS EN OTRAS CATEGORÍAS) CLASIFICADOS)
5094;PIEDRAS Y METALES PRECIOSOS, RELOJES Y JOYAS
5099;BIENES DURADEROS (NO CLASIFICADOS EN OTROS LUGARES)
5111;PAPELERÍA, SUMINISTROS DE OFICINA, PAPEL PARA IMPRIMIR Y ESCRIBIR
5122;MEDICAMENTOS, MEDICAMENTOS DE MARCA REGISTRADA Y ARTÍCULOS VARIOS DE FARMACIA
5131;ARTÍCULOS DE MERCERÍA, ARTÍCULOS DE MERCERÍA Y OTROS ARTÍCULOS SECOS
5137;UNIFORMES Y ROPA COMERCIAL PARA HOMBRES, MUJERES Y NIÑOS
5139;CALZADO COMERCIAL
5169;PRODUCTOS QUÍMICOS Y AFINES (NO CLASIFICADOS EN OTROS LUGARES)
5172;PETRÓLEO Y PRODUCTOS DERIVADOS DEL PETRÓLEO
5192;LIBROS, PUBLICACIONES PERIÓDICAS Y PERIÓDICOS
5193;ARTÍCULOS DE FLORISTERÍA, VIVEROS Y FLORES
5198;PINTURAS, BARNICES Y SUMINISTROS
5199;BIENES NO DURADEROS (NO CLASIFICADOS EN OTROS LUGARES)
5200;ALMACENES DE ARTÍCULOS PARA EL HOGAR
5211;MADERERÍAS Y TIENDAS DE MATERIALES DE CONSTRUCCIÓN
5231;VIDRIERÍAS, PINTURAS Y PAPEL TAPIZ
5251;FERRETERÍAS
5261;VIVEROS Y TIENDAS DE ARTÍCULOS PARA JARDINERÍA
5262;MERCADOS
5271;DISTRIBUIDORES DE CASAS MÓVILES
5300;CLUBES MAYORISTAS
5309;TIENDAS LIBRES DE IMPUESTOS
5310;TIENDAS DE DESCUENTO
5311;DEPARTAMENTOS TIENDAS
5331;TIENDAS DE VARIEDADES
5399;MERCANCÍA GENERAL MISCELÁNEA
5411;TIENDAS DE COMESTIBLES Y SUPERMERCADOS
5422;CARNICERÍAS DE CONGELACIÓN Y ALMACENAMIENTO
5441;TIENDAS DE DULCES, FRUTOS SECOS Y CONFITERÍA
5451;TIENDAS DE PRODUCTOS LÁCTEOS
5462;PANADERÍAS
5499;TIENDAS DE ALIMENTOS MISCELÁNEAS - TIENDAS DE CONVENIENCIA Y MERCADOS ESPECIALIZADOS
5511;CONCESIONARIOS DE AUTOS Y CAMIONETAS (NUEVOS Y USADOS): VENTAS, SERVICIO, REPARACIONES, REPUESTOS Y ARRENDAMIENTO
5521;CONCESIONARIOS DE AUTOS Y CAMIONETAS (SOLO USADOS): VENTAS, SERVICIO, REPARACIONES, REPUESTOS Y ARRENDAMIENTO
5532;TIENDAS DE NEUMÁTICOS PARA AUTOS
5533;TIENDAS DE REPUESTOS Y ACCESORIOS PARA AUTOS
5541;ESTACIONES DE SERVICIO (CON O SIN SERVICIOS AUXILIARES)
5542;DISPENSADORES AUTOMÁTICOS DE COMBUSTIBLE
5551;CONCESIONARIOS DE BOTES
5552;CARGA DE VEHÍCULOS ELÉCTRICOS
5561;CONCESIONARIOS DE CASAS RODANTES, RECREATIVAS Y REMOLQUES UTILITARIOS
5571;TIENDAS Y CONCESIONARIOS DE MOTOCICLETAS
5592;CONCESIONARIOS DE CASAS RODANTES
5598;CONCESIONARIOS DE MOTOS DE NIEVE
5599;CONCESIONARIOS DE AUTOMOCIÓN, AERONAVES Y EQUIPO AGRÍCOLA MISCELÁNEO (NO CLASIFICADOS EN OTROS LUGARES)
5611;PARA CABALLEROS Y TIENDAS DE ROPA Y ACCESORIOS PARA NIÑOS
5621;TIENDAS DE PRÊT-À-PORTER PARA MUJERES
5631;TIENDAS DE ACCESORIOS Y ARTÍCULOS ESPECIALIZADOS PARA MUJERES
5641;TIENDAS DE ROPA PARA NIÑOS Y BEBÉS
5651;TIENDAS DE ROPA FAMILIAR
5655;TIENDAS DE ROPA DEPORTIVA Y DE EQUITACIÓN
5661;ZAPATERÍAS
5681;PELETEROS Y TIENDAS DE PIELES
5691;TIENDAS DE ROPA PARA HOMBRES Y MUJERES
5697;SASTRERÍAS, COSTURERAS, REMIENDOS Y ARREGLOS
